G1	D	p	lam	q	tau
1	501	50	0	0	0
0.9999917435768321	501	50	0	0	16.88686394038963
0.9999834872218327	501	50	0	0	33.77372788077926
0.9999752309350008	501	50	0	0	50.66059182116889
0.9999669747163363	501	50	0	0	67.54745576155852
0.9999587185658391	501	50	0	0	84.43431970194816
0.9999504624835073	501	50	0	0	101.3211836423378
0.9999422064693411	501	50	0	0	118.2080475827274
0.9999339505233406	501	50	0	0	135.094911523117
0.9999256946455043	501	50	0	0	151.9817754635067
0.9999174388358333	501	50	0	0	168.8686394038963
0.999909183094325	501	50	0	0	185.7555033442859
0.9999009274209786	501	50	0	0	202.6423672846755
0.9998926718157958	501	50	0	0	219.5292312250652
0.9998844162787743	501	50	0	0	236.4160951654548
0.999876160809914	501	50	0	0	253.3029591058445
0.999867905409214	501	50	0	0	270.1898230462341
0.9998596500766751	501	50	0	0	287.0766869866237
0.9998513948122951	501	50	0	0	303.9635509270134
0.9998431396160744	501	50	0	0	320.8504148674029
0.9998348844880114	501	50	0	0	337.7372788077926
0.9998266294281075	501	50	0	0	354.6241427481822
0.9998183744363593	501	50	0	0	371.5110066885719
0.9998101195127685	501	50	0	0	388.3978706289615
0.9998018646573331	501	50	0	0	405.2847345693511
0.9997936098700545	501	50	0	0	422.1715985097408
0.9997853551509307	501	50	0	0	439.0584624501304
0.9997771004999607	501	50	0	0	455.94532639052
0.999768845917145	501	50	0	0	472.8321903309097
0.9997605914024831	501	50	0	0	489.7190542712993
0.9997523369559731	501	50	0	0	506.6059182116889
0.9997440825776158	501	50	0	0	523.4927821520785
0.9997358282674096	501	50	0	0	540.3796460924682
0.9997275740253556	501	50	0	0	557.2665100328578
0.9997193198514508	501	50	0	0	574.1533739732474
0.999711065745697	501	50	0	0	591.040237913637
0.9997028117080921	501	50	0	0	607.9271018540268
0.9996945577386357	501	50	0	0	624.8139657944163
0.9996863038373281	501	50	0	0	641.7008297348059
0.9996780500041681	501	50	0	0	658.5876936751956
0.9996697962391553	501	50	0	0	675.4745576155852
0.9996615425422881	501	50	0	0	692.3614215559749
0.9996532889135681	501	50	0	0	709.2482854963644
0.9996450353529939	501	50	0	0	726.1351494367541
0.9996367818605635	501	50	0	0	743.0220133771437
0.9996285284362775	501	50	0	0	759.9088773175333
0.9996202750801355	501	50	0	0	776.7957412579231
0.9996120217921373	501	50	0	0	793.6826051983127
0.9996037685722808	501	50	0	0	810.5694691387022
0.9995955154205669	501	50	0	0	827.4563330790919
0.9995872623369947	501	50	0	0	844.3431970194815
0.9995790093215629	501	50	0	0	861.2300609598711
0.9995707563742713	501	50	0	0	878.1169249002608
0.9995625034951208	501	50	0	0	895.0037888406504
0.9995542506841085	501	50	0	0	911.89065278104
0.9995459979412348	501	50	0	0	928.7775167214296
0.9995377452664999	501	50	0	0	945.6643806618193
0.9995294926599021	501	50	0	0	962.551244602209
0.9995212401214416	501	50	0	0	979.4381085425986
0.9995129876511163	501	50	0	0	996.3249724829882
0.9995047352489276	501	50	0	0	1013.211836423378
0.9994964829148749	501	50	0	0	1030.098700363767
0.9994882306489571	501	50	0	0	1046.985564304157
0.9994799784511731	501	50	0	0	1063.872428244547
0.9994717263215219	501	50	0	0	1080.759292184936
0.9994634742600051	501	50	0	0	1097.646156125326
0.9994552222666199	501	50	0	0	1114.533020065716
0.9994469703413661	501	50	0	0	1131.419884006105
0.9994387184842449	501	50	0	0	1148.306747946495
0.999430466695254	501	50	0	0	1165.193611886884
0.9994222149743934	501	50	0	0	1182.080475827274
0.9994139633216625	501	50	0	0	1198.967339767664
0.9994057117370606	501	50	0	0	1215.854203708054
0.9993974602205881	501	50	0	0	1232.741067648443
0.9993892087722425	501	50	0	0	1249.627931588833
0.9993809573920253	501	50	0	0	1266.514795529222
0.9993727060799346	501	50	0	0	1283.401659469612
0.9993644548359704	501	50	0	0	1300.288523410002
0.9993562036601318	501	50	0	0	1317.175387350391
0.9993479525524187	501	50	0	0	1334.062251290781
0.9993397015128289	501	50	0	0	1350.94911523117
0.9993314505413641	501	50	0	0	1367.83597917156
0.9993231996380236	501	50	0	0	1384.72284311195
0.9993149488028051	501	50	0	0	1401.609707052339
0.99930669803571	 501	50	0	0	1418.496570992729
0.9992984473367351	501	50	0	0	1435.383434933119
0.9992901967058824	501	50	0	0	1452.270298873508
0.9992819461431508	501	50	0	0	1469.157162813898
0.9992736956485373	501	50	0	0	1486.044026754287
0.9992654452220456	501	50	0	0	1502.930890694677
0.9992571948636725	501	50	0	0	1519.817754635067
0.9992489445734181	501	50	0	0	1536.704618575456
0.999240694351281	501	50	0	0	1553.591482515846
0.9992324441972606	501	50	0	0	1570.478346456236
0.9992241941113585	501	50	0	0	1587.365210396625
0.9992159440935713	501	50	0	0	1604.252074337015
0.9992076941439003	501	50	0	0	1621.138938277404
0.9991994442623434	501	50	0	0	1638.025802217794
0.9991911944489027	501	50	0	0	1654.912666158184
0.9991829447035752	501	50	0	0	1671.799530098574
0.9991746950263609	501	50	0	0	1688.686394038963
0.99916644541726	 501	50	0	0	1705.573257979353
0.9991581958762711	501	50	0	0	1722.460121919742
0.9991499464033924	501	50	0	0	1739.346985860132
0.9991416969986275	501	50	0	0	1756.233849800522
0.9991334476619709	501	50	0	0	1773.120713740911
0.999125198393426	501	50	0	0	1790.007577681301
0.9991169491929898	501	50	0	0	1806.89444162169
0.9991087000606625	501	50	0	0	1823.78130556208
0.9991004509964436	501	50	0	0	1840.66816950247
0.9990922020003324	501	50	0	0	1857.555033442859
0.9990839530723284	501	50	0	0	1874.441897383249
0.9990757042124316	501	50	0	0	1891.328761323639
0.9990674554206406	501	50	0	0	1908.215625264028
0.999059206696954	501	50	0	0	1925.102489204418
0.9990509580413734	501	50	0	0	1941.989353144807
0.9990427094538978	501	50	0	0	1958.876217085197
0.9990344609345247	501	50	0	0	1975.763081025587
0.9990262124832556	501	50	0	0	1992.649944965976
0.9990179641000888	501	50	0	0	2009.536808906366
0.9990097157850246	501	50	0	0	2026.423672846756
1	501	50	0	0	0
0.935265977975911	501	50	0	0	136879.7633957911
0.8747224495589357	501	50	0	0	273759.5267915823
0.8180981472443405	501	50	0	0	410639.2901873735
0.7651393637626189	501	50	0	0	547519.0535831646
0.7156088153375455	501	50	0	0	684398.8169789558
0.6692845785249173	501	50	0	0	821278.580374747
0.6259590958782559	501	50	0	0	958158.3437705381
