G2	D	p	lam	q	t
0.9995005721794842	501	50	0.5	0	0
0.9995752825687736	501	50	0.5	0	81.05694691387022
0.9996388005724552	501	50	0.5	0	162.1138938277404
0.9996928096673665	501	50	0.5	0	243.1708407416107
0.9997387373567476	501	50	0.5	0	324.2277876554809
0.999777795266907	501	50	0.5	0	405.2847345693511
0.9998110121928173	501	50	0.5	0	486.3416814832214
0.9998392625208462	501	50	0.5	0	567.3986283970916
0.9998632894338498	501	50	0.5	0	648.4555753109618
0.9998837244188761	501	50	0.5	0	729.5125222248321
0.9999011048915627	501	50	0.5	0	810.5694691387023
0.9999158870998656	501	50	0.5	0	891.6264160525725
0.9999284597642335	501	50	0.5	0	972.6833629664427
0.999939152973312	501	50	0.5	0	1053.740309880313
0.9999482480745125	501	50	0.5	0	1134.797256794183
0.9999559836415176	501	50	0.5	0	1215.854203708053
0.9995001973190023	501	50	0	-1	0
0.9999625630580153	501	50	0.5	0	1296.911150621924
0.999539169814242	501	50	0	-1	81.05694691387022
0.9999681589904048	501	50	0.5	0	1377.968097535794
0.9995750987251414	501	50	0	-1	162.1138938277404
0.9999729182898311	501	50	0.5	0	1459.025044449664
0.9996081046545793	501	50	0	-1	243.1708407416107
0.9999769664826514	501	50	0.5	0	1540.081991363534
0.9996387653068343	501	50	0	-1	324.2277876554809
0.9999804096266623	501	50	0.5	0	1621.138938277405
0.9996668070708001	501	50	0	-1	405.2847345693511
0.9999833378265974	501	50	0.5	0	1702.195885191275
0.9996926549611754	501	50	0	-1	486.3416814832214
0.9999858284194509	501	50	0.5	0	1783.252832105145
0.9997164804591702	501	50	0	-1	567.3986283970916
0.9999879466637994	501	50	0.5	0	1864.309779019015
0.999738918575548	501	50	0	-1	648.4555753109618
0.9999897484490398	501	50	0.5	0	1945.366725932885
0.9999912806397411	501	50	0.5	0	2026.423672846756
0.9997591620247638	501	50	0	-1	729.5125222248321
0.9999925838542559	501	50	0.5	0	2107.480619760626
0.9997778212870477	501	50	0	-1	810.5694691387023
0.9999936926662778	501	50	0.5	0	2188.537566674496
0.9997950206435627	501	50	0	-1	891.6264160525725
0.9999946353455414	501	50	0.5	0	2269.594513588366
0.9999954372327169	501	50	0.5	0	2350.651460502237
0.9998108734563591	501	50	0	-1	972.6833629664427
0.9999961193512005	501	50	0.5	0	2431.708407416107
0.9998254846120284	501	50	0	-1	1053.740309880313
0.9999966994651217	501	50	0.5	0	2512.765354329977
0.9998389514893345	501	50	0	-1	1134.797256794183
0.9999971930883302	501	50	0.5	0	2593.822301243847
0.9999976125224797	501	50	0.5	0	2674.879248157717
0.9998513627787934	501	50	0	-1	1215.854203708053
0.9999979696878054	501	50	0.5	0	2755.936195071587
0.9998637544597635	501	50	0	-1	1296.911150621924
0.9999982731198132	501	50	0.5	0	2836.993141985457
0.99987334275952	501	50	0	-1	1377.968097535794
0.9999985312278975	501	50	0.5	0	2918.050088899328
0.999998751368302	501	50	0.5	0	2999.107035813198
0.9998840097800571	501	50	0	-1	1459.025044449664
0.9999989378786356	501	50	0.5	0	3080.163982727068
0.9998920068732556	501	50	0	-1	1540.081991363534
0.999999096698617	501	50	0.5	0	3161.220929640939
0.9999012075374308	501	50	0	-1	1621.138938277405
0.99999923209912	501	50	0.5	0	3242.277876554809
0.9999993471936994	501	50	0.5	0	3323.334823468679
0.9999097594330408	501	50	0	-1	1702.195885191275
0.9999994446382137	501	50	0.5	0	3404.391770382549
0.9999158072246567	501	50	0	-1	1783.252832105145
0.9999995273411222	501	50	0.5	0	3485.44871729642
0.9999232092486631	501	50	0	-1	1864.309779019015
0.9999995983008659	501	50	0.5	0	3566.50566421029
0.9999996585142606	501	50	0.5	0	3647.56261112416
0.9999281961014436	501	50	0	-1	1945.366725932885
0.9999997095636208	501	50	0.5	0	3728.61955803803
0.9999346193055547	501	50	0	-1	2026.423672846756
